,scan_point,dihedral,close_range,mid_range,far_range,total,path,rmsd_atoms,rmsd_charges
0,0_1,-0.005619383817954999,0.8015546541,0.1673910999,0.0729267243,0.3892036521,../fbuta-f_0/0_1,0.2478310304447292,0.3040103666508513
1,1_2,5.116367920011243,0.8258719174,0.2089628074,0.1068111001,0.4067638739,../fbuta-f_0/1_2,0.2497486434783308,0.3069467738227882
2,2_3,9.743878763361664,0.8670571358,0.2622510655,0.1499288901,0.4354893028,../fbuta-f_0/2_3,0.2610414570699136,0.3215809363972463
3,3_4,13.40182290564592,0.9170947982,0.3147486181,0.1947142475,0.4725826899,../fbuta-f_0/3_4,0.2820900669802546,0.3541924429458187
4,4_5,15.993342316117715,1.014041257,0.4111455317,0.2612663163,0.5442754258,../fbuta-f_0/4_5,0.3139611700305188,0.40133677654606187
5,5_6,17.5223746585186,1.246999504,0.6090428471,0.3735572578,0.7070718066,../fbuta-f_0/5_6,0.37445832646618715,0.49491685450446965
6,6_7,18.099838528912407,1.716811576,0.9496557918,0.5488973514,1.008488312,../fbuta-f_0/6_7,0.4534110407942328,0.61513252537234
7,7_8,18.125224683662903,2.180005097,1.255263693,0.7195972885,1.2961926,../fbuta-f_0/7_8,0.45610612014625596,0.6245561128311565
8,8_9,18.009698292592482,2.420939314,1.410331572,0.8225351118,1.455409289,../fbuta-f_0/8_9,0.38600738002762697,0.5213624677208363
9,9_10,17.727513830074006,2.520180789,1.472917678,0.8802111996,1.533977135,../fbuta-f_0/9_10,0.33934233823259513,0.4517585601565804
10,10_11,17.08769839045798,2.511907829,1.476205313,0.9050111014,1.538780474,../fbuta-f_0/10_11,0.29316646138331004,0.3844020588749092
11,11_12,16.079561938852272,2.48484709,1.468995508,0.9195553095,1.537433388,../fbuta-f_0/11_12,0.2722326234862921,0.35883869479384095
12,12_13,14.439467734426348,2.454477344,1.465190041,0.9266353483,1.529041431,../fbuta-f_0/12_13,0.2723881305152139,0.35873928380891834
13,13_14,12.495469693632403,2.429465445,1.463055671,0.9375584936,1.528497684,../fbuta-f_0/13_14,0.25391453696783406,0.336944438964379
14,14_15,10.10491044630111,2.419281015,1.467163973,0.9459439824,1.529920352,../fbuta-f_0/14_15,0.25756013236760555,0.34495654692988403
15,15_16,7.46915863809987,2.431409342,1.481544802,0.9602238862,1.548868301,../fbuta-f_0/15_16,0.28303348792364375,0.3793614620104613
16,16_17,4.874439148025579,2.448488402,1.50448047,0.9825479071,1.581224512,../fbuta-f_0/16_17,0.30298419356894196,0.4050603545034868
17,17_18,2.390659928808658,2.457490827,1.517046657,0.9921080194,1.597366386,../fbuta-f_0/17_18,0.3169618705241712,0.4233990198372478
18,18_19,-0.008457007224716036,2.450126484,1.509541256,0.9812239882,1.583216726,../fbuta-f_0/18_19,0.3179102453260731,0.42446589760356673
19,19_20,-2.381828953050652,2.436301704,1.4925529,0.9588252844,1.554119708,../fbuta-f_0/19_20,0.3022765187821494,0.4037049471523167
20,20_21,-4.846323056307385,2.423738931,1.48072301,0.9417778996,1.534938038,../fbuta-f_0/20_21,0.2780169994668158,0.37253332761551344
21,21_22,-7.472854675271307,2.436803085,1.483816108,0.9361792015,1.537568497,../fbuta-f_0/21_22,0.259718267117896,0.3474076529466275
22,22_23,-10.083906018566374,2.459477701,1.490188598,0.9262335231,1.538921168,../fbuta-f_0/22_23,0.2563848109260618,0.34001639180534204
23,23_24,-12.505442798834286,2.491139021,1.50339067,0.9255145011,1.552681312,../fbuta-f_0/23_24,0.25932380812267536,0.3396458669581539
24,24_25,-14.576537101764938,2.489120223,1.494154491,0.8995247519,1.536055913,../fbuta-f_0/24_25,0.285375953383589,0.3724757089002988
25,25_26,-16.128456757161594,2.461251588,1.470806588,0.8645912503,1.510230406,../fbuta-f_0/25_26,0.3011860831613532,0.3924563215379232
26,26_27,-17.12830069265665,2.36075602,1.402475334,0.8074526294,1.429701526,../fbuta-f_0/26_27,0.3309032303652143,0.436272718246443
27,27_28,-17.77898493217842,2.121852616,1.237959435,0.7025531102,1.267509245,../fbuta-f_0/27_28,0.38092145710757114,0.5088767743086064
28,28_29,-17.929248274018843,1.662081357,0.9122757397,0.5232157829,0.9720413847,../fbuta-f_0/28_29,0.45611259271802984,0.6215352975528671
29,29_30,-18.132742475285692,1.200335178,0.5479922849,0.3302811982,0.6625046092,../fbuta-f_0/29_30,0.45652616899712234,0.6173850824728176
30,30_31,-18.115847279150966,0.9779464617,0.3381068403,0.2072778057,0.5011730064,../fbuta-f_0/30_31,0.37723661757127935,0.4954403889584934
31,31_32,-17.512986695603168,0.8995700966,0.2590490018,0.1512386309,0.445865661,../fbuta-f_0/31_32,0.3128553092414909,0.39860069735779946
32,32_33,-15.98119885754698,0.860863992,0.2290441341,0.1235239655,0.4223577204,../fbuta-f_0/32_33,0.2840942359022206,0.35574480211862924
33,33_34,-13.435477924109613,0.8286206929,0.1942723007,0.09601605237,0.4042016708,../fbuta-f_0/33_34,0.2607659813683061,0.32138711341744525
34,34_35,-9.706556034811182,0.803992487,0.1617388135,0.06905170421,0.3891266447,../fbuta-f_0/34_35,0.2519997067854208,0.30913300218233103
35,35_36,-5.124306107729008,0.7966429956,0.1474017521,0.05542531651,0.3855441056,../fbuta-f_0/35_36,0.24684394385491393,0.30216418314321003
